X,Y,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,COLO_PREC,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area
-104.895982121476,39.672274391439,"6","26","09","03","0","6260903404","404",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_404.pdf,AC,2022/02/02,AC,2025/10/20,683,2025/10/20,0.04140938149,0.00006988432
-104.926848061029,39.6718792031914,"1","32","09","03","0","1320903139","139",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_139.pdf,AC,2022/02/02,AC,2025/10/20,731,2025/10/20,0.05934441615,0.00006189190
-104.841973723179,39.6713463262522,"6","29","41","03","0","6294103427","427",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_427.pdf,AC,2022/02/02,AC,2025/10/20,1518,2025/10/20,0.03954629251,0.00007649211
-104.802574716041,39.6711109779667,"6","29","41","03","0","6294103469","469",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_469.pdf,AC,2022/02/02,AC,2025/10/20,756,2025/10/20,0.04469199141,0.00004996361
-104.833076960218,39.671186911712,"6","29","41","03","0","6294103428","428",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_428.pdf,AC,2022/02/02,AC,2025/10/20,1057,2025/10/20,0.02952970141,0.00005611357
-104.816059981046,39.6717319766068,"6","29","41","03","0","6294103439","439",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_439.pdf,AC,2022/02/02,AC,2025/10/20,1025,2025/10/20,0.03461819456,0.00006040893
-104.849643527308,39.6707755839247,"6","29","41","03","0","6294103422","422",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_422.pdf,AC,2022/02/02,AC,2025/10/20,722,2025/10/20,0.02494657261,0.00003292615
-104.855298675618,39.6708831747739,"6","29","41","03","0","6294103421","421",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_421.pdf,AC,2022/02/02,AC,2025/10/20,550,2025/10/20,0.03379657700,0.00004832473
-104.780705725126,39.6709957706922,"6","29","40","03","1","6294003452","452",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_452.pdf,AC,2022/02/02,AC,2025/10/20,1909,2025/10/20,0.05500256084,0.00013545197
-104.882838067886,39.6698621016872,"6","26","09","03","0","6260903407","407",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_407.pdf,AC,2022/02/02,AC,2025/10/20,1451,2025/10/20,0.06367470501,0.00013848035
